PM10, 2.50,2.,2024_07_06 - 11:32:06 AM
PM10, 32.00,3,2024_07_06 - 11:36:08 AM
PM10, 1.75,1.7,2024_07_06 - 11:47:13 AM
PM10, 31.50,31.,2024_07_06 - 11:48:13 AM
PM10, 25.50,25.,2024_07_06 - 11:53:16 AM
PM10, 1032.00,103,2024_07_06 - 11:54:16 AM
PM10, 591.00,59,2024_07_06 - 12:00:19 PM
PM10, 31.00,3,2024_07_06 - 12:01:19 PM
PM10, 31.00,3,2024_07_06 - 12:02:19 PM
PM10, 30.50,30.,2024_07_06 - 12:17:26 PM
PM10, 30.50,30.,2024_07_06 - 12:19:27 PM
PM1, 1.14,1.11000001,2024_07_06 - 12:28:30 PM
PM1, 8.00,12,2024_07_06 - 12:28:30 PM
PM10, 1.25,1.2,2024_07_06 - 12:33:33 PM
PM10, 26.00,2,2024_07_06 - 12:46:39 PM
PM10, 2.75,2.7,2024_07_06 - 01:49:06 PM
PM10, 31.00,3,2024_07_06 - 01:51:06 PM
PM10, 26.50,26.,2024_07_06 - 03:29:49 PM
PM10, 0.50,0.,2024_07_06 - 03:33:50 PM
PM10, 0.50,0.,2024_07_06 - 03:34:51 PM
PM10, 0.50,0.,2024_07_06 - 03:35:51 PM
PM10, 0.50,0.,2024_07_06 - 03:36:52 PM
PM10, 0.50,0.,2024_07_06 - 03:37:52 PM
PM10, 0.50,0.,2024_07_06 - 03:39:53 PM
PM10, 0.50,0.,2024_07_06 - 03:40:54 PM
PM10, 0.50,0.,2024_07_06 - 03:45:56 PM
PM10, 0.50,0.,2024_07_06 - 03:47:57 PM
PM10, 0.50,0.,2024_07_06 - 03:52:59 PM
PM10, 29.50,29.,2024_07_06 - 03:53:59 PM
PM10, 0.50,0.,2024_07_06 - 03:57:00 PM
PM10, 0.50,0.,2024_07_06 - 03:58:01 PM
PM10, 584.00,58,2024_07_06 - 04:02:03 PM
PM10, 29.00,2,2024_07_06 - 04:06:04 PM
PM10, 29.50,29.,2024_07_06 - 04:22:11 PM
PM10, 26.00,2,2024_07_06 - 04:34:17 PM
PM10, 0.75,0.7,2024_07_06 - 04:34:17 PM
PM10, 26.00,2,2024_07_06 - 05:45:47 PM
PM10, 889.00,88,2024_07_06 - 05:57:52 PM
PM10, 0.75,0.7,2024_07_06 - 06:16:00 PM
PM10, 0.75,0.7,2024_07_06 - 06:17:01 PM
PM10, 0.75,0.7,2024_07_06 - 06:20:02 PM
PM10, 31.00,3,2024_07_06 - 06:32:07 PM
PM10, 594.00,59,2024_07_06 - 06:43:12 PM
PM10, 889.00,88,2024_07_06 - 06:55:17 PM
PM10, 889.00,88,2024_07_06 - 06:57:18 PM
PM10, 26.50,26.,2024_07_06 - 07:06:22 PM
PM10, 26.50,26.,2024_07_06 - 07:11:24 PM
PM10, 0.50,0.,2024_07_06 - 07:15:26 PM
PM10, 31.00,3,2024_07_06 - 07:16:26 PM
PM10, 26.50,26.,2024_07_06 - 07:19:28 PM
PM10, 0.50,0.,2024_07_06 - 07:19:28 PM
PM10, 0.50,0.,2024_07_06 - 07:23:29 PM
PM10, 0.50,0.,2024_07_06 - 07:24:30 PM
PM10, 26.50,26.,2024_07_06 - 07:35:35 PM
PM10, 0.50,0.,2024_07_06 - 07:38:36 PM
PM10, 0.50,0.,2024_07_06 - 07:50:41 PM
